[data_logger.csv](https://github.com/user-attachments/files/28749576/data_logger.csv)
Waktu,TC 1,TC 2,TC 3,TC 4,TC 5,TC 6,TC 7,TC 8,TC 9,TC 10,TC 11,TC 12,TC13,TC 14
0,73,74,75,78,75,73,85,83,82,73,77,76,75,77
1,74,74,76,78,75,74,85,84,82,74,77,76,75,78
2,74,74,77,78,76,74,85,83,82,74,77,77,75,78
3,75,75,77,78,76,75,85,84,82,75,78,77,76,80
4,75,75,77,78,76,75,85,83,82,75,78,77,76,79
5,76,77,78,79,77,76,85,84,83,76,79,78,77,80
6,77,77,78,79,78,77,84,85,83,77,79,78,77,80
7,78,77,79,79,78,78,84,85,83,77,79,78,77,82
8,78,78,79,81,81,78,85,87,83,80,85,79,79,85
9,79,79,80,83,83,79,86,89,84,84,90,80,80,88
10,81,81,81,85,86,81,87,91,85,88,96,82,82,94
11,84,84,82,88,88,84,91,95,88,95,103,84,84,101
12,87,87,84,93,92,87,95,99,93,102,111,88,88,108
13,90,91,86,97,96,90,99,103,99,109,119,91,92,116
14,94,96,89,102,101,95,105,109,106,117,126,96,97,124
15,100,102,93,108,107,99,112,116,113,124,133,101,103,133
16,106,109,98,114,113,104,118,123,121,131,140,106,109,140
17,114,116,104,121,121,113,124,129,129,138,146,112,115,146
18,121,123,109,128,128,120,131,137,136,145,151,118,122,153
19,129,129,117,134,136,128,138,143,144,151,157,125,129,159
20,135,136,123,140,142,136,143,149,151,157,162,131,135,163
21,142,142,130,146,149,143,149,155,157,162,166,137,141,169
22,148,148,136,151,155,148,155,161,163,167,170,143,147,175
23,154,153,142,157,161,156,161,166,168,171,175,148,153,179
24,159,158,148,162,166,161,166,171,173,176,178,154,159,182
25,164,163,153,166,171,167,171,175,178,180,183,159,164,186
26,170,168,159,171,177,172,176,181,183,185,188,164,168,191
27,175,173,164,176,182,178,181,185,188,190,193,169,173,193
28,180,178,169,180,187,184,186,190,193,194,197,174,178,197
29,184,183,174,185,192,189,191,194,197,198,200,179,183,200
30,189,187,179,189,196,193,195,195,201,201,202,183,185,204
31,193,191,183,193,200,198,199,202,204,205,207,188,192,207
32,197,196,188,197,204,201,204,206,208,208,210,192,196,210
33,200,199,192,200,207,205,206,208,211,210,212,196,199,212
34,204,203,196,204,210,209,210,212,214,213,215,200,203,215
35,207,206,199,206,213,211,213,214,216,215,216,203,205,216
36,210,208,203,209,215,215,216,217,218,217,218,206,209,218
37,212,211,203,212,217,214,217,219,220,220,220,209,211,220
38,215,214,209,214,220,217,219,221,222,221,222,211,214,222
39,217,215,211,216,221,221,221,223,224,222,223,214,216,223
40,219,218,214,218,223,221,223,225,226,225,225,216,218,225
41,221,220,216,220,225,223,225,226,227,226,226,218,220,226
42,222,221,218,222,226,225,226,227,228,227,227,220,222,227
43,224,223,220,223,228,226,227,229,229,228,229,222,223,229
44,225,224,221,224,228,227,228,230,230,229,229,223,225,229
45,226,225,223,225,229,228,229,230,231,230,230,225,226,230
46,228,227,224,227,231,229,230,231,232,231,231,226,228,231
47,229,228,226,228,232,230,230,233,233,232,232,228,228,232
48,230,229,227,229,232,230,231,233,233,232,233,229,230,233
49,231,230,228,230,233,231,232,234,234,233,233,230,230,233
50,232,231,229,231,233,232,233,235,235,234,234,231,231,234
51,233,232,230,232,234,233,233,236,239,235,235,231,232,235
52,233,233,231,233,235,233,234,236,236,235,235,233,233,235
53,234,233,232,233,235,234,235,236,236,236,236,233,233,236
54,234,234,233,234,236,235,236,237,237,236,236,234,234,236
55,235,234,233,234,237,236,237,237,237,236,236,234,235,236
56,235,235,234,235,237,237,237,238,237,237,237,235,235,237
57,236,235,235,235,237,237,238,238,238,237,237,236,236,237
58,236,236,235,236,238,238,238,238,238,237,237,236,236,237
59,237,236,236,236,238,238,238,239,238,238,238,236,236,238
60,237,237,236,237,238,238,239,239,239,238,238,237,237,238
61,237,237,236,237,238,239,239,240,239,238,238,237,237,238
62,237,238,237,237,238,239,240,239,239,238,238,237,237,238
